#,NACE,Sector,Activity number,Activity ,Objective,SCC/DNSH,Attributes,Values
372,"C22, C25, C26, C27, C37",Manufacturing,3.6,Manufacturing of other low carbon technologies,CCM/CCA,DNSH,Circular Economy,Circular economy waste management
373,"C22, C25, C26, C27, C38",Manufacturing,3.6,Manufacturing of other low carbon technologies,CCM/CCA,DNSH,Circular Economy,Circular economy traceability information
374,"C22, C25, C26, C27, C39",Manufacturing,3.6,Manufacturing of other low carbon technologies,CCM/CCA,DNSH,Pollution prevention,Appendix C
375,"C22, C25, C26, C27, C40",Manufacturing,3.6,Manufacturing of other low carbon technologies,CCM/CCA,DNSH,Biodiversity,Appendix D
376,"C22, C25, C26, C27, C41",Manufacturing,3.6,Manufacturing of other low carbon technologies,CCA,SCC,Climate Adaptation Generic,Generic Values
377,C23.51,Manufacturing,3.7,Manufacture of cement,CCM,SCC,Cement type,Cement type
378,C23.52,Manufacturing,3.7,Manufacture of cement,CCM,SCC,GHG emissions,GHG emission for cement (tCO2 / ton)
379,C23.53,Manufacturing,3.7,Manufacture of cement,CCM,SCC,Captured CO2,CO2 captured for storage is transported and stored underground in accordance with the technical screening criteria in Sections 5.11 and 5.12 
380,C23.54,Manufacturing,3.7,Manufacture of cement,CCM,DNSH,Climate Adaptation,Appendix A
381,C23.55,Manufacturing,3.7,Manufacture of cement,CCM/CCA,DNSH,Water,Appendix B
382,C23.56,Manufacturing,3.7,Manufacture of cement,CCM/CCA,DNSH,Pollution prevention,Appendix C
383,C23.57,Manufacturing,3.7,Manufacture of cement,CCM/CCA,DNSH,Pollution prevention,Emissions are within or lower than the emission levels associated with the (BAT-AEL) ranges
384,C23.58,Manufacturing,3.7,Manufacture of cement,CCM/CCA,DNSH,Pollution prevention,"Best available techniques (BAT) conclusion for production of cement, lime and magnesium oxide"
385,C23.59,Manufacturing,3.7,Manufacture of cement,CCM/CCA,DNSH,Pollution prevention,Handling of hazardous substance measures in cement manufacturing
386,C23.59,Manufacturing,3.7,Manufacture of cement,CCM/CCA,DNSH,Biodiversity,Appendix D
387,C23.59,Manufacturing,3.7,Manufacture of cement,CCA,SCC,Climate Adaptation Generic,Generic Values
388,C23.59,Manufacturing,3.7,Manufacture of cement,CCA,DNSH,Climate Mitigation,GHG emission for cement (tCO2 / ton)
389,"C24.42, C24.53",Manufacturing,3.8,Manufacture of aluminium,CCM,SCC,Aluminium type,Primary or secondary aluminium
390,"C24.42, C24.54",Manufacturing,3.8,Manufacture of aluminium,CCM,SCC,GHG emissions,GHG emissions (tCO2 / ton) of aluminium manufactured
391,"C24.42, C24.55",Manufacturing,3.8,Manufacture of aluminium,CCM,SCC,Carbon Intensity,Carbon Intensity for indirect GHG emissions (CO2e/kWh)
392,"C24.42, C24.56",Manufacturing,3.8,Manufacture of aluminium,CCM,SCC,Electricity consumption,Electricity consumption of manufacturing process (MWh/t Al.)
393,"C24.42, C24.57",Manufacturing,3.8,Manufacture of aluminium,CCM,SCC,Start Date,Start Date until of after year 2025
394,"C24.42, C24.58",Manufacturing,3.8,Manufacture of aluminium,CCM,DNSH,Climate Adaptation,Appendix A
395,"C24.42, C24.59",Manufacturing,3.8,Manufacture of aluminium,CCM/CCA,DNSH,Water,Appendix B
396,"C24.42, C24.60",Manufacturing,3.8,Manufacture of aluminium,CCM/CCA,DNSH,Pollution prevention,Appendix C
397,"C24.42, C24.61",Manufacturing,3.8,Manufacture of aluminium,CCM/CCA,DNSH,Pollution prevention,Emissions are within or lower than the emission levels associated with the (BAT-AEL) ranges
398,"C24.42, C24.62",Manufacturing,3.8,Manufacture of aluminium,CCM/CCA,DNSH,Pollution prevention,Best available techniques (BAT) conclusions for non-ferrous metals industries
399,"C24.42, C24.63",Manufacturing,3.8,Manufacture of aluminium,CCM/CCA,DNSH,Biodiversity,Appendix D
400,"C24.42, C24.64",Manufacturing,3.8,Manufacture of aluminium,CCA,SCC,Climate Adaptation Generic,Generic Values
401,"C24.42, C24.65",Manufacturing,3.8,Manufacture of aluminium,CCA,DNSH,Climate Mitigation,Aluminium manufacturing GHG emissions (tCO2 / ton)
402,"C24.42, C24.66",Manufacturing,3.8,Manufacture of aluminium,CCA,DNSH,Climate Mitigation,Electricity consumption (MWh/t A)
403,"C24.10, C24.20, C24.31, C24.32, C24.33, C24.34, C24.51 and C24.52",Manufacturing,3.9,Manufacture of iron and steel,CCM,SCC,Product type,Iron or steel type
404,"C24.10, C24.20, C24.31, C24.32, C24.33, C24.34, C24.51 and C24.53",Manufacturing,3.9,Manufacture of iron and steel,CCM,SCC,GHG emissions,GHG emissions of production
405,"C24.10, C24.20, C24.31, C24.32, C24.33, C24.34, C24.51 and C24.54",Manufacturing,3.9,Manufacture of iron and steel,CCM,SCC,Waste gases,Waste gases reduction (tCO2e/t product)
406,"C24.10, C24.20, C24.31, C24.32, C24.33, C24.34, C24.51 and C24.55",Manufacturing,3.9,Manufacture of iron and steel,CCM,SCC,EAF carbon steel production,Steel scrap input relative to product output
407,"C24.10, C24.20, C24.31, C24.32, C24.33, C24.34, C24.51 and C24.56",Manufacturing,3.9,Manufacture of iron and steel,CCM,SCC,Captured CO2,CO2 captured for storage is transported and stored underground in accordance with technical screening criteria in Sections 5.11 and 5.12 
408,"C24.10, C24.20, C24.31, C24.32, C24.33, C24.34, C24.51 and C24.57",Manufacturing,3.9,Manufacture of iron and steel,CCM,DNSH,Climate Adaptation,Appendix A
409,"C24.10, C24.20, C24.31, C24.32, C24.33, C24.34, C24.51 and C24.58",Manufacturing,3.9,Manufacture of iron and steel,CCM/CCA,DNSH,Water,Appendix B
410,"C24.10, C24.20, C24.31, C24.32, C24.33, C24.34, C24.51 and C24.59",Manufacturing,3.9,Manufacture of iron and steel,CCM/CCA,DNSH,Pollution prevention,Appendix C
411,"C24.10, C24.20, C24.31, C24.32, C24.33, C24.34, C24.51 and C24.60",Manufacturing,3.9,Manufacture of iron and steel,CCM/CCA,DNSH,Pollution prevention,Emissions are within or lower than the emission levels associated with the (BAT-AEL) ranges
412,"C24.10, C24.20, C24.31, C24.32, C24.33, C24.34, C24.51 and C24.61",Manufacturing,3.9,Manufacture of iron and steel,CCM/CCA,DNSH,Pollution prevention,Best available techniques (BAT) conclusions for iron and steel production
413,"C24.10, C24.20, C24.31, C24.32, C24.33, C24.34, C24.51 and C24.62",Manufacturing,3.9,Manufacture of iron and steel,CCM/CCA,DNSH,Biodiversity,Appendix D
414,"C24.10, C24.20, C24.31, C24.32, C24.33, C24.34, C24.51 and C24.63",Manufacturing,3.9,Manufacture of iron and steel,CCA,SCC,Climate Adaptation Generic,Generic Values
415,"C24.10, C24.20, C24.31, C24.32, C24.33, C24.34, C24.51 and C24.65",Manufacturing,3.9,Manufacture of iron and steel,CCA,DNSH,Climate Mitigation,Waste gases reduction (Emission target tCO2e/t product)
416,"C24.10, C24.20, C24.31, C24.32, C24.33, C24.34, C24.51 and C24.66",Manufacturing,3.9,Manufacture of iron and steel,CCA,DNSH,Climate Mitigation,Steel scrap input relative to product output in %
417,C20.11,Manufacturing,3.10,Manufacture of hydrogen,CCM,SCC,GHG emissions savings for hydrogen,Life-cycle GHG emission saving compliance in hydrogen manufacturing
418,C20.12,Manufacturing,3.10,Manufacture of hydrogen,CCM,SCC,GHG emissions savings for hydrogen based synthetic fuels,Life-cycle GHG emissions compliance of hydrogen based synthetic fuels
419,C20.12,Manufacturing,3.10,Manufacture of hydrogen,CCM,SCC,GHG emission calculated regulatory standard,Life-cycle GHG emission saving calculation recommended in Article 28(5) of Directive (EU) 2018/2001
420,C20.13,Manufacturing,3.10,Manufacture of hydrogen,CCM,SCC,GHG emission calculated standard,Life-cycle GHG emissions savings calculation as per ISO 14067:2018 or ISO 14064-1:2018
421,C20.14,Manufacturing,3.10,Manufacture of hydrogen,CCM,SCC,Regulatory GHG verification,Verification of GHG quantification as per Article 30 of Directive (EU) 2018/2001
422,C20.15,Manufacturing,3.10,Manufacture of hydrogen,CCM,SCC,Third party verification,Independent third party verification of GHG quantification
423,C20.16,Manufacturing,3.10,Manufacture of hydrogen,CCM,SCC,Captured CO2,CO2 captured for storage is transported and stored underground in accordance with technical screening criteria in Sections 5.11 and 5.12 
424,C20.17,Manufacturing,3.10,Manufacture of hydrogen,CCM,DNSH,Climate Adaptation,Appendix A
425,C20.18,Manufacturing,3.10,Manufacture of hydrogen,CCM/CCA,DNSH,Water,Appendix B
426,C20.19,Manufacturing,3.10,Manufacture of hydrogen,CCM/CCA,DNSH,Pollution prevention,Appendix C
427,C20.20,Manufacturing,3.10,Manufacture of hydrogen,CCM/CCA,DNSH,Pollution prevention,Emissions are within or lower than the emission levels associated with the (BAT-AEL) ranges
428,C20.21,Manufacturing,3.10,Manufacture of hydrogen,CCM/CCA,DNSH,Pollution prevention,Best available techniques (BAT) conclusions for chlor-alka production
429,C20.22,Manufacturing,3.10,Manufacture of hydrogen,CCM/CCA,DNSH,Pollution prevention,Best available techniques (BAT) conclusions for common waste water and waste gas treatment
430,C20.23,Manufacturing,3.10,Manufacture of hydrogen,CCM/CCA,DNSH,Pollution prevention,Best available techniques (BAT) conclusions for mineral oil and gas refining
431,C20.24,Manufacturing,3.10,Manufacture of hydrogen,CCM/CCA,DNSH,Biodiversity,Appendix D
432,C20.25,Manufacturing,3.10,Manufacture of hydrogen,CCA,SCC,Climate Adaptation Generic,Generic Values
433,C20.26,Manufacturing,3.10,Manufacture of hydrogen,CCA,DNSH,Climate Mitigation,70 % relative to fossil fuel comparator of 94g CO2e/MJ compliance
434,C20.26,Manufacturing,3.10,Manufacture of hydrogen,CCA,DNSH,Climate Mitigation,Life-cycle GHG emission saving calculation recommended in Article 28(5) of Directive (EU) 2018/2001
435,C20.27,Manufacturing,3.10,Manufacture of hydrogen,CCA,DNSH,Climate Mitigation,Life-cycle GHG emissions savings calculation as per ISO 14067:2018 or ISO 14064-1:2018
436,C20.28,Manufacturing,3.10,Manufacture of hydrogen,CCA,DNSH,Climate Mitigation,Verification of GHG quantification as per Article 30 of Directive (EU) 2018/2001
437,C20.29,Manufacturing,3.10,Manufacture of hydrogen,CCA,DNSH,Climate Mitigation,Independent third party verification of GHG quantification
438,C20.13,Manufacturing,3.11,Manufacture of carbon black,CCM,SCC,GHG emissions,GHG emissions from carbon black production (tCO2 / product)
439,C20.14,Manufacturing,3.11,Manufacture of carbon black,CCM,DNSH,Climate Adaptation,Appendix A
440,C20.15,Manufacturing,3.11,Manufacture of carbon black,CCM/CCA,DNSH,Water,Appendix B
441,C20.16,Manufacturing,3.11,Manufacture of carbon black,CCM/CCA,DNSH,Pollution prevention,Appendix C
442,C20.17,Manufacturing,3.11,Manufacture of carbon black,CCM/CCA,DNSH,Pollution prevention,Emissions are within or lower than the emission levels associated with the (BAT-AEL) ranges
443,C20.18,Manufacturing,3.11,Manufacture of carbon black,CCM/CCA,DNSH,Pollution prevention,Best Available Techniques Reference Document (BREF) for the Large Volume Inorganic Chemicals – Solids and Others industry
444,C20.19,Manufacturing,3.11,Manufacture of carbon black,CCM/CCA,DNSH,Pollution prevention,Best available techniques (BAT) conclusions for common waste water and waste gas treatment
445,C20.20,Manufacturing,3.11,Manufacture of carbon black,CCM/CCA,DNSH,Biodiversity,Appendix D
446,C20.21,Manufacturing,3.11,Manufacture of hydrogen,CCA,SCC,Climate Adaptation Generic,Generic Values
447,C20.22,Manufacturing,3.11,Manufacture of hydrogen,CCA,DNSH,Climate Mitigation,"Carbon black production processes <  1,615 tCO2e per tonne of product"
448,C20.13,Manufacturing,3.12,Manufacture of soda ash,CCM,SCC,GHG emissions,GHG emissions from soda ash production (tCO2 / product)
449,C20.13,Manufacturing,3.12,Manufacture of soda ash,CCM,DNSH,Climate Adaptation,Appendix A
450,C20.13,Manufacturing,3.12,Manufacture of soda ash,CCM/CCA,DNSH,Water,Appendix B
451,C20.13,Manufacturing,3.12,Manufacture of soda ash,CCM/CCA,DNSH,Pollution prevention,Appendix C
452,C20.13,Manufacturing,3.12,Manufacture of soda ash,CCM/CCA,DNSH,Pollution prevention,Emissions are within or lower than the emission levels associated with the (BAT-AEL) ranges
453,C20.13,Manufacturing,3.12,Manufacture of soda ash,CCM/CCA,DNSH,Pollution prevention,Best Available Techniques Reference Document (BREF) for the Large Volume Inorganic Chemicals – Solids and Others industry
454,C20.13,Manufacturing,3.12,Manufacture of soda ash,CCM/CCA,DNSH,Pollution prevention,Best available techniques (BAT) conclusions for common waste water and waste gas treatment
455,C20.13,Manufacturing,3.12,Manufacture of soda ash,CCM/CCA,DNSH,Biodiversity,Appendix D
456,C20.13,Manufacturing,3.12,Manufacture of soda ash,CCA,SCC,Climate Adaptation Generic,Generic Values
457,C20.13,Manufacturing,3.12,Manufacture of soda ash,CCA,DNSH,Climate Mitigation,"GHG emissions soda ash production < 0,866(180) tCO2e per tonne of product"
458,C20.13,Manufacturing,3.13,Manufacture of chlorine,CCM,SCC,Electricity consumption,Electricity consumption for electrolysis and chlorine treatment (MWh per tonne of chlorine)
459,C20.13,Manufacturing,3.13,Manufacture of chlorine,CCM,SCC,GHG emissions,Average life-cycle GHG emissions (C02 e/kWh)
460,C20.13,Manufacturing,3.13,Manufacture of chlorine,CCM,SCC,GHG emission calculated regulatory standard,Life-cycle GHG emission saving calculation using  Recommendation 2013/179/EU
461,C20.13,Manufacturing,3.13,Manufacture of chlorine,CCM,SCC,GHG emission calculated standard,Life-cycle GHG emissions calculation  using ISO 14067:2018 or ISO 14064-1:2018
462,C20.13,Manufacturing,3.13,Manufacture of chlorine,CCM,SCC,Third party verification,Independent third party verification of GHG quantification
463,C20.13,Manufacturing,3.13,Manufacture of chlorine,CCM,DNSH,Climate Adaptation,Appendix A
464,C20.13,Manufacturing,3.13,Manufacture of chlorine,CCM/CCA,DNSH,Water,Appendix B
465,C20.13,Manufacturing,3.13,Manufacture of chlorine,CCM/CCA,DNSH,Pollution prevention,Appendix C
466,C20.13,Manufacturing,3.13,Manufacture of chlorine,CCM/CCA,DNSH,Pollution prevention,Emissions are within or lower than the emission levels associated with the (BAT-AEL) ranges
467,C20.13,Manufacturing,3.13,Manufacture of chlorine,CCM/CCA,DNSH,Pollution prevention,Best available techniques (BAT) conclusions for chlor-alka production
468,C20.13,Manufacturing,3.13,Manufacture of chlorine,CCM/CCA,DNSH,Pollution prevention,Best available techniques (BAT) conclusions for common waste water and waste gas treatment
469,C20.13,Manufacturing,3.13,Manufacture of chlorine,CCM/CCA,DNSH,Biodiversity,Appendix D
470,C20.13,Manufacturing,3.13,Manufacture of chlorine,CCA,SCC,Climate Adaptation Generic,Generic Values
471,C20.13,Manufacturing,3.13,Manufacture of chlorine,CCA,DNSH,Climate Mitigation,Electricity consumption for electrolysis and chlorine treatment (MWh per tonne of chlorine)
472,C20.13,Manufacturing,3.13,Manufacture of chlorine,CCA,DNSH,Climate Mitigation,Emissions level of electricity used for chlorine production 
473,C20.14,Manufacturing,3.14,Manufacture of organic basic chemicals,CCM,SCC,Chemical type,Organic chemical type
474,C20.15,Manufacturing,3.14,Manufacture of organic basic chemicals,CCM,SCC,Manufacturing type,Wholly or partially produced from renewable feedstock
475,C20.16,Manufacturing,3.14,Manufacture of organic basic chemicals,CCM,SCC,GHG emissions,Life-cycle GHG emissions (tCO2e) 
476,C20.17,Manufacturing,3.14,Manufacture of organic basic chemicals,CCM,SCC,GHG emissions,Lower life-cycle GHG emission levels than of equivalent chemical manufactured from fossil fuel feedstock.
477,C20.18,Manufacturing,3.15,Manufacture of organic basic chemicals,CCM,SCC,GHG emission calculated regulatory standard,Life-cycle GHG emission saving calculation using  Recommendation 2013/179/EU 
478,C20.18,Manufacturing,3.14,Manufacture of organic basic chemicals,CCM,SCC,GHG emission calculated standard,Life-cycle GHG emissions calculation using ISO 14067:2018 or ISO 14064-1:2018
479,C20.19,Manufacturing,3.14,Manufacture of organic basic chemicals,CCM,SCC,Third party verification,Third party verification of GHG emission quantification
480,C20.20,Manufacturing,3.14,Manufacture of organic basic chemicals,CCM,SCC,Biomass compliance,Criteria compliance of agricultural biomass used for organic basic chemicals manufacturing
481,C20.21,Manufacturing,3.14,Manufacture of organic basic chemicals,CCM,SCC,Biomass compliance,Criteria compliance of forest biomass used for organic basic chemicals manufacturing
482,C20.22,Manufacturing,3.14,Manufacture of organic basic chemicals,CCM,DNSH,Climate Adaptation,Appendix A
483,C20.23,Manufacturing,3.14,Manufacture of organic basic chemicals,CCM/CCA,DNSH,Water,Appendix B
484,C20.24,Manufacturing,3.14,Manufacture of organic basic chemicals,CCM/CCA,DNSH,Pollution prevention,Appendix C
485,C20.25,Manufacturing,3.14,Manufacture of organic basic chemicals,CCM/CCA,DNSH,Pollution prevention,Emissions are within or lower than the emission levels associated with the (BAT-AEL) ranges
486,C20.26,Manufacturing,3.14,Manufacture of organic basic chemicals,CCM/CCA,DNSH,Pollution prevention,Best available techniques (BAT) for production of large volumes organic chemicals
487,C20.27,Manufacturing,3.14,Manufacture of organic basic chemicals,CCM/CCA,DNSH,Pollution prevention,Best available techniques (BAT) conclusions for common waste water and waste gas treatment
488,C20.28,Manufacturing,3.14,Manufacture of organic basic chemicals,CCM/CCA,DNSH,Biodiversity,Appendix D
489,C20.29,Manufacturing,3.14,Manufacture of organic basic chemicals,CCA,SCC,Climate Adaptation Generic,Generic Values
490,C20.30,Manufacturing,3.14,Manufacture of organic basic chemicals,CCA,DNSH,Climate Mitigation,GHG emissions levels from organic chemicals production processes 
491,C20.31,Manufacturing,3.14,Manufacture of organic basic chemicals,CCA,DNSH,Climate Mitigation,Emission levels of manufactured chemicals from fossil fuel feedstock
492,C20.32,Manufacturing,3.14,Manufacture of organic basic chemicals,CCA,DNSH,Climate Mitigation,Criteria compliance of agricultural biomass used for organic basic chemicals manufacturing
493,C20.33,Manufacturing,3.14,Manufacture of organic basic chemicals,CCA,DNSH,Climate Mitigation,Criteria compliance of forest biomass used for organic basic chemicals manufacturing (tCO2e/t)
494,C20.15,Manufacturing,3.15,Manufacture of anhydrous ammonia,CCM,SCC,Hydrogen production compliance,Produced from hydrogen that complies with the technical screening criteria set out in Section 3.10
495,C20.15,Manufacturing,3.15,Manufacture of anhydrous ammonia,CCM,SCC,Waste water,Manufacturing via recovered from waste water
496,C20.15,Manufacturing,3.15,Manufacture of anhydrous ammonia,CCM,DNSH,Climate Adaptation,Appendix A
497,C20.15,Manufacturing,3.15,Manufacture of anhydrous ammonia,CCM/CCA,DNSH,Water,Appendix B
498,C20.15,Manufacturing,3.15,Manufacture of anhydrous ammonia,CCM/CCA,DNSH,Pollution prevention,Appendix C
499,C20.15,Manufacturing,3.15,Manufacture of anhydrous ammonia,CCM/CCA,DNSH,Pollution prevention,Emissions are within or lower than the emission levels associated with the (BAT-AEL) ranges
500,C20.15,Manufacturing,3.15,Manufacture of anhydrous ammonia,CCM/CCA,DNSH,Pollution prevention,"Best Available Techniques Reference Document (BREF) for the manufacture of Large Volume Inorganic Chemicals - Ammonia, Acids and Fertilisers"
501,C20.15,Manufacturing,3.15,Manufacture of anhydrous ammonia,CCM/CCA,DNSH,Pollution prevention,Best available techniques (BAT) conclusions for common waste water and waste gas treatment in the chemical sector(
502,C20.15,Manufacturing,3.15,Manufacture of anhydrous ammonia,CCM/CCA,DNSH,Biodiversity,Appendix D
503,C20.15,Manufacturing,3.15,Manufacture of anhydrous ammonia,CCA,SCC,Climate Adaptation Generic,Generic Values
504,C20.15,Manufacturing,3.15,Manufacture of anhydrous ammonia,CCA,DNSH,Climate Mitigation,GHG emissions levels from anhydrous ammonia production processes (tCO2e/t) 
505,C20.15,Manufacturing,3.15,Manufacture of anhydrous ammonia,CCA,DNSH,Climate Mitigation,Recovered ammonia from waste water
506,C20.15,Manufacturing,3.16,Manufacture of nitric acid,CCM,SCC,GHG emissions,GHG emissions from manufacture of nitric acid (tCO2e /t)
507,C20.15,Manufacturing,3.16,Manufacture of nitric acid,CCM,DNSH,Climate Adaptation,Appendix A
508,C20.15,Manufacturing,3.16,Manufacture of nitric acid,CCM/CCA,DNSH,Water,Appendix B
509,C20.15,Manufacturing,3.16,Manufacture of nitric acid,CCM/CCA,DNSH,Pollution prevention,Appendix C
510,C20.15,Manufacturing,3.16,Manufacture of nitric acid,CCM/CCA,DNSH,Pollution prevention,Emissions are within or lower than the emission levels associated with the (BAT-AEL) ranges
511,C20.15,Manufacturing,3.16,Manufacture of nitric acid,CCM/CCA,DNSH,Pollution prevention,"Best Available Techniques Reference Document (BREF) for the manufacture of Large Volume Inorganic Chemicals - Ammonia, Acids and Fertilisers"
512,C20.15,Manufacturing,3.16,Manufacture of nitric acid,CCM/CCA,DNSH,Pollution prevention,Best available techniques (BAT) conclusions for common waste water and waste gas treatment in the chemical sector(
513,C20.15,Manufacturing,3.16,Manufacture of nitric acid,CCM/CCA,DNSH,Biodiversity,Appendix D
514,C20.15,Manufacturing,3.16,Manufacture of nitric acid,CCA,SCC,Climate Adaptation Generic,Generic Values
515,C20.15,Manufacturing,3.16,Manufacture of nitric acid,CCA,DNSH,Climate Mitigation,GHG emissions levels from nitric acid production processes (tCO2e/t) 
516,C20.16,Manufacturing,3.17,Manufacture of plastics in primary form,CCM,SCC,Manufacturing process,Plastic manufactured by mechanical recycling/ chemical recycling /renewable feedstock
517,C20.16,Manufacturing,3.17,Manufacture of plastics in primary form,CCM,SCC,GHG emissions,Lower life-cycle GHG emissions (excluding calculated credits from production of fuels) of chemical recycling than by fossil fuel feedstock
518,C20.16,Manufacturing,3.17,Manufacture of plastics in primary form,CCM,SCC,GHG emission calculated regulatory standard,Manufacturing from fossil fuel feedstock life-cycle GHG emission saving calculation using Recommendation 2013/179/EU 
519,C20.16,Manufacturing,3.17,Manufacture of plastics in primary form,CCM,SCC,GHG emission calculated standard,Manufacturing from fossil fuel feedstock  life-cycle GHG emissions calculation using ISO 14067:2018 or ISO 14064-1:2018
520,C20.16,Manufacturing,3.17,Manufacture of plastics in primary form,CCM,SCC,GHG emissions,GHG emission of equivalent fossil fuel feedstock manufacturing
521,C20.16,Manufacturing,3.17,Manufacture of plastics in primary form,CCM,SCC,GHG emission calculated regulatory standard,Chemical recycling life-cycle GHG emission saving calculation from using  Recommendation 2013/179/EU
522,C20.16,Manufacturing,3.17,Manufacture of plastics in primary form,CCM,SCC,GHG emission calculated standard,Chemical recycling life-cycle GHG emissions calculation using ISO 14067:2018 or ISO 14064-1:2018
523,C20.16,Manufacturing,3.17,Manufacture of plastics in primary form,CCM,SCC,Third party verification,Independent third party verification of GHG quantification
524,C20.16,Manufacturing,3.17,Manufacture of plastics in primary form,CCM,SCC,Biomass compliance,Agricultural biomass criteria compliance with article 29 paragraphs 2 to 5.
525,C20.16,Manufacturing,3.17,Manufacture of plastics in primary form,CCM,SCC,Biomass compliance,Forest biomass criteria compliance with  article 29 paragraphs 6 to 7
526,C20.16,Manufacturing,3.17,Manufacture of plastics in primary form,CCM,DNSH,Climate Adaptation,Appendix A
527,C20.16,Manufacturing,3.17,Manufacture of plastics in primary form,CCM/CCA,DNSH,Water,Appendix B
528,C20.16,Manufacturing,3.17,Manufacture of plastics in primary form,CCM/CCA,DNSH,Pollution prevention,Appendix C
529,C20.16,Manufacturing,3.17,Manufacture of plastics in primary form,CCM/CCA,DNSH,Pollution prevention,Emissions are within or lower than the emission levels associated with the (BAT-AEL) ranges
530,C20.16,Manufacturing,3.17,Manufacture of plastics in primary form,CCM/CCA,DNSH,Pollution prevention,Best Available Techniques Reference Document (BREF) for the Production of Polymers
531,C20.16,Manufacturing,3.17,Manufacture of plastics in primary form,CCM/CCA,DNSH,Pollution prevention,Best available techniques (BAT) conclusions for common waste water and waste gas treatment in the chemical sector(
532,C20.16,Manufacturing,3.17,Manufacture of plastics in primary form,CCM/CCA,DNSH,Biodiversity,Appendix D
533,C20.16,Manufacturing,3.17,Manufacture of plastics in primary form,CCA,SCC,Climate Adaptation Generic,Generic Values
534,C20.16,Manufacturing,3.17,Manufacture of plastics in primary form,CCA,DNSH,Climate Mitigation,Plastic in primary form manufactured by mechanical recycling/ chemical recycling /renewable feedstock
535,C20.16,Manufacturing,3.17,Manufacture of plastics in primary form,CCA,DNSH,Climate Mitigation,Life-cycle GHG emissions (excluding calculated credits from production of fuels) of chemical recycling is lower than from fossil fuel feedstock manufaturing
536,C20.16,Manufacturing,3.17,Manufacture of plastics in primary form,CCA,DNSH,Climate Mitigation,Manufacturing from fossil fuel feedstock life-cycle GHG emission saving calculation using Recommendation 2013/179/EU 
537,C20.16,Manufacturing,3.17,Manufacture of plastics in primary form,CCA,DNSH,Climate Mitigation,Manufacturing from fossil fuel feedstock life-cycle GHG emissions calculation using ISO 14067:2018 or ISO 14064-1:2018
538,C20.16,Manufacturing,3.17,Manufacture of plastics in primary form,CCA,DNSH,Climate Mitigation,GHG emission of equivalent fossil fuel feedstock manufacturing
539,C20.16,Manufacturing,3.17,Manufacture of plastics in primary form,CCA,DNSH,Climate Mitigation,Chemical recycling life-cycle GHG emission saving calculation from using  Recommendation 2013/179/EU
540,C20.16,Manufacturing,3.17,Manufacture of plastics in primary form,CCA,DNSH,Climate Mitigation,Chemical recycling  life-cycle GHG emissions calculation using ISO 14067:2018 or ISO 14064-1:2018
541,C20.16,Manufacturing,3.17,Manufacture of plastics in primary form,CCA,DNSH,Climate Mitigation,Independent third party verification of GHG quantification
542,C20.16,Manufacturing,3.17,Manufacture of plastics in primary form,CCA,DNSH,Climate Mitigation,Agricultural biomass criteria compliance with article 29 paragraphs 2 to 5.
543,C20.16,Manufacturing,3.17,Manufacture of plastics in primary form,CCA,DNSH,Climate Mitigation,Forest biomass criteria compliance with  article 29 paragraphs 6 to 7
544, D35.11 and F42.22,Energy,4.1,Electricity generation using solar photovoltaic technology,CCM,SCC,Activity description,The activity generates electricity using solar PV technology.
545, D35.11 and F42.22,Energy,4.1,Electricity generation using solar photovoltaic technology,CCM,DNSH,Climate Adaptation,Appendix A
546, D35.11 and F42.22,Energy,4.1,Electricity generation using solar photovoltaic technology,CCM/CCA,DNSH,Circular Economy,Reuse of materials
547, D35.11 and F42.22,Energy,4.1,Electricity generation using solar photovoltaic technology,CCM/CCA,DNSH,Biodiversity,Appendix D
548, D35.11 and F42.22,Energy,4.1,Electricity generation using solar photovoltaic technology,CCA,SCC,Climate Adaptation Generic,Generic Values
549,"D35.11, F42.22",Energy,4.2,Electricity generation using concentrated solar power (CSP) technology,CCM,SCC,Activity description,The activity generates electricity using CSP technology.
550,"D35.11, F42.22",Energy,4.2,Electricity generation using concentrated solar power (CSP) technology,CCM,DNSH,Climate Adaptation,Appendix A
551,"D35.11, F42.22",Energy,4.2,Electricity generation using concentrated solar power (CSP) technology,CCM/CCA,DNSH,Water,Appendix B
552,"D35.11, F42.22",Energy,4.2,Electricity generation using concentrated solar power (CSP) technology,CCM/CCA,DNSH,Circular Economy,Reuse of materials
553,"D35.11, F42.22",Energy,4.2,Electricity generation using concentrated solar power (CSP) technology,CCM/CCA,DNSH,Biodiversity,Appendix D
554,"D35.11, F42.22",Energy,4.3,Electricity generation from wind power,CCM,SCC,Activity description,The activity generates electricity from wind power.
555,"D35.11, F42.22",Energy,4.3,Electricity generation from wind power,CCM,DNSH,Climate Adaptation,Appendix A
556,"D35.11, F42.22",Energy,4.3,Electricity generation from wind power,CCM/CCA,DNSH,Water - Wind power type,Offshore or onshore 
557,"D35.11, F42.22",Energy,4.3,Electricity generation from wind power,CCM/CCA,DNSH,Water - Activity requirements,Requirements in relation to Noise/energy and relevant criteria and methodological standards
558,"D35.11, F42.22",Energy,4.3,Electricity generation from wind power,CCM/CCA,DNSH,Equipment and component requirements,High durability and recyclability and that are easy to dismantle and refurbish
559,"D35.11, F42.22",Energy,4.3,Electricity generation from wind power,CCM/CCA,DNSH,Biodiversity,Appendix D
