Reporting/Assessment Type,NACE,Applicable Sector,Activity,Objective,Attributes,Values
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Long-term net balance of GHG emisssions,Long-term net balance of GHG emissions are lower than the baseline
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Analysis requirements,Analysis complient with guidelines
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Requirements for calculation,Specific calculaton criterias
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Forest holding size,Under 13ha 
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Forest status of the area,"Classified in the permanent forest estate, classified as a protected area, or is subject to a guarantee ensuring it will remain a forest"
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Requirements for the activity operator,Specific operator requirements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Thirdparty validation,Within two years after the beginning of the activity and every 10 years thereafter
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Verification subjects,"Relevant national competent authorities, or independent third-parti certifier"
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Compliance assessment,Specific criteria for group assessment
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Subject area,Area that are subject to a forest management plan or an equivalent
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Start date,Start date
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Duration of forest management plan,Period of at least 10 years or more
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Information requirements,Specific information requirements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Sustainable forest management requirements,Compliance with national definition of sustainable forest management
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Sustainable forest management requirements,Compliance with Forest Europe definition of sustainable forest amangement and guidelines
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Sustainable forest management requirements,Compliance with forest sustainability criterias
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirements,No degradation of land with high carbon stock
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirements,Compliance with dd. obligation and legality requirements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirements,Forest Management plan or instrument provides for monitoring
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Compliant with requirements ,Specific requirements at forest sourcing area level
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Baseline of GHG emissions,Baseline of GHG emissions
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Net balance of GHG emissions,Net balance of GHG is lower than a baseline over a period of 30 years
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Alignment with Directive,Considerations of long-term climate benefits
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Long-term net balance of GHG emisssions,Long-term net balance of GHG emissions are lower than the baseline
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Analysis requirements,Analysis complient with guidelines
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Requirements for calculation,Specific calculaton criterias
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Forest holding size,Under 13ha 
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Forest status of the area,"Classified in the permanent forest estate, classified as a protected area, or is subject to a guarantee ensuring it will remain a forest"
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Requirements for the activity operator,Specific operator requirements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Thirdparty validation,Within two years after the beginning of the activity and every 10 years thereafter
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Verification subjects,"Relevant national competent authorities, or independent third-parti certifier"
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Compliance assessment,Specific criteria for group assessment
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Subject area,Area that are subject to a forest management plan or an equivalent
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Start date,Start date
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Duration of forest management plan,Period of at least 10 years or more
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Information requirements,Specific information requirements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Primary designated management objective,"Protection of soil and water, conservation of biodiversity or social services "
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Content requirements,Analysis of specific impact on conservation objectives
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Sustainable forest management requirements,Compliance with national definition of sustainable forest management
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Sustainable forest management requirements,Compliance with Forest Europe definition of sustainable forest amangement and guidelines
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Sustainable forest management requirements,Compliance with forest sustainability criterias
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirements,No degradation of land with high carbon stock
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirements,Compliance with dd. obligation and legality requirements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirements,Forest Management plan or instrument provides for monitoring
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Compliant with requirements ,Specific requirements at forest sourcing area level
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Baseline of GHG emissions,Baseline of GHG emissions
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Net balance of GHG emissions,Net balance of GHG is lower than a baseline over a period of 30 years
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Alignment with Directive,Considerations of long-term climate benefits
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Long-term net balance of GHG emisssions,Long-term net balance of GHG emissions are lower than the baseline
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Analysis requirements,Analysis complient with guidelines
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Requirements for calculation,Specific calculaton criterias
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Forest holding size,Under 13ha 
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Forest status of the area,"Classified in the permanent forest estate, classified as a protected area, or is subject to a guarantee ensuring it will remain a forest"
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Thirdparty validation,Specific operator requirements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Compliance verification,Within two years after the beginning of the activity and every 10 years thereafter
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Verification subjects,"Relevant national competent authorities, or independent third-parti certifier"
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Compliance assessment,Specific criteria for group assessment
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Pesticides,The use of pesticides is reduced
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Fertiliser and manure,Minimises use of fertiliser and does not use manure
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Measures to avoid spcific ingredients,Documented and verifiable measures to avoid use of specific ingredients
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Pollution of water and soil,Prevention of pollution of water and soil
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Specific area requirements,Specific area requirements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Specific area requirements,No conversion of habitats sensitive to biodiversity loss or with conservation value
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Afforestation and forest management plan,Include provisions for maintaining and anhancing biodiversity
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Afforestation and forest management plan,Specific provision requirements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirement,Specific activity requirement
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirement,Provides something that increases the level of resilience to physical climate risk
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirement,Provides something that contributes to adaption efforts
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Duration of afforestation plan ,Duration of at least five years or the minimum period prescribed in national law
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Afforestation plan,Specific content requitements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Duration of forest management plan,Duration of at least 10 years
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Forest management plan,Specific content requitements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Afforestation practices,Follows the best afforestation practices
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirements,No degradation of land with high carbon stock
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirements,Complies with dd. obligation and legality requirements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Afforestation plan,Provides monitoring which ensures the correctness
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Thirdparty validation,Within two years after the beginning of the activity and every 10 years thereafter
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Verification subjects,"Relevant national competent authorities, or independent third-party certifier"
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Compliance assessment,Specific criteria for group assessment
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirement,The activity to not result in significant reduction og sustainability supply of primary forest biomass
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Pesticides,The use of pesticides is reduced
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Fertiliser and manure,Minimises use of fertiliser and does not use manure
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Measures to avoid spcific ingredients,Documented and verifiable measures to avoid use of specific ingredients
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Pollution of water and soil,Prevention of pollution of water and soil
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Specific area requirements,Specific area requirements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Specific area requirements,No conversion of habitats sensitive to biodiversity loss or with conservation value
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Afforestation and forest management plan,Include provisions for maintaining and anhancing biodiversity
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Afforestation and forest management plan,Specific provision requirements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirement,Specific activity requirement
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirement,Provides something that increases the level of resilience to physical climate risk
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirement,Provides something that contributes to adaption efforts
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Area requirement,Area is subject to a forest management plan
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Duration of forest management plan,Duration of at least 10 years
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Forest management plan,Specific content requitements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Sustainable forest management,Sustainability is ensured by following specific approaches
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirements,No degradation of land with high carbon stock
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirements,Complies with dd. obligation and legality requirements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Afforestation plan,Provides monitoring which ensures the correctness
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Thirdparty validation,Within two years after the beginning of the activity and every 10 years thereafter
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Verification subjects,"Relevant national competent authorities, or independent third-party certifier"
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Compliance assessment,Specific criteria for group assessment
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirement,The activity to not result in significant reduction og sustainability supply of primary forest biomass
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Pesticides,The use of pesticides is reduced
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Fertiliser and manure,Minimises use of fertiliser and does not use manure
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Measures to avoid spcific ingredients,Documented and verifiable measures to avoid use of specific ingredients
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Pollution of water and soil,Prevention of pollution of water and soil
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Specific area requirements,Specific area requirements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Specific area requirements,No conversion of habitats sensitive to biodiversity loss or with conservation value
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Afforestation and forest management plan,Include provisions for maintaining and anhancing biodiversity
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Afforestation and forest management plan,Specific provision requirements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirement,Specific activity requirement
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirement,Provides something that increases the level of resilience to physical climate risk
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirement,Provides something that contributes to adaption efforts
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Area requirement,Area is subject to a forest management plan
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Duration of forest management plan,Duration of at least 10 years
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Forest management plan,Specific content requitements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Sustainable forest management,Sustainability is ensured by following specific approaches
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirements,No degradation of land with high carbon stock
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirements,Complies with dd. obligation and legality requirements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Afforestation plan,Provides monitoring which ensures the correctness
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Thirdparty validation,Within two years after the beginning of the activity and every 10 years thereafter
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Verification subjects,"Relevant national competent authorities, or independent third-party certifier"
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Compliance assessment,Specific criteria for group assessment
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirement,The activity to not result in significant reduction og sustainability supply of primary forest biomass
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Pesticides and fertiliser,Activity do not use pesticides or fertiliser
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Measures to avoid spcific ingredients,Documented and verifiable measures to avoid use of specific ingredients
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Pollution of water and soil,Prevention of pollution of water and soil
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Specific area requirements,Specific area requirements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Specific area requirements,No conversion of habitats sensitive to biodiversity loss or with conservation value
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Afforestation and forest management plan,Include provisions for maintaining and anhancing biodiversity
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Afforestation and forest management plan,Specific provision requirements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirement,Specific activity requirement
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirement,Provides something that increases the level of resilience to physical climate risk
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirement,Provides something that contributes to adaption efforts
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Area requirement,Area is subject to a forest management plan
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Duration of forest management plan,Duration of at least 10 years
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Forest management plan,Specific content requitements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Primary designated management objective,"Protection of soil and water, conservation of biodiversity or social services "
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Forest management plan,Promotes biodiversity-friendly practices that enhance forests’ natural processes
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Content requirements,Analysis of specific impact on conservation objectives
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Sustainable forest management requirements,Compliance with national definition of sustainable forest management
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Sustainable forest management requirements,Compliance with Forest Europe definition of sustainable forest amangement and guidelines
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Sustainable forest management requirements,Compliance with forest sustainability criterias
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirements,No degradation of land with high carbon stock
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirements,Compliance with dd. obligation and legality requirements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Thirdparty validation,Within two years after the beginning of the activity and every 10 years thereafter
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Verification subjects,"Relevant national competent authorities, or independent third-party certifier"
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Compliance assessment,Specific criteria for group assessment
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,The area is covered by a restoration plan or wetland management plan,Covered by restoration plan
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Requirement for a restoration plan ,Specific requirements for restoration plan for hydrological and pedological condition
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Start Date,Start Date
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,GHG emissions and removals generated over 30 years is lower than a baseline of business as usual,GHG emission are lower than baseline
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Long term average lower than longterm baseline,GHG emission are lower than baseline longterm
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Calculations of climate benefits complies with specific criteria,Specific requirements for calculations
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Wetland status of the area is guaranteed,Specific requirements for the area of the activity
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,"Future updates to restoration plan, continue to seek climate benefits.",Future updates continue to comply
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Commitment to compensate any reduction in the benefit determined.,Compensation commitment
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,"Two years after beginning and every 10 years thereafter, compliance is verified",Verified by third party
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Peat extraction,Peat extraction minimised
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Use of pesticides,The use of pesticides are minimised
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Use of fertilisers and manure,Minimise the use of fertilisers and manure
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Avoid listed active ingredients,Avoid listed active ingredients
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Pollution of water and soil,Pollution of water and soil is prevented
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Protected conservations or habitats,"Protected conservations or habitats, designated by the national competen authority"
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Maintaining and enhancing biodiveristy,Maintaining and enhancing biodiveristy in accordance with national and local provision
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,The area is covered by a restoration plan or wetland management plan,Covered by restoration plan
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Requirement for a restoration plan ,Specific requirements for restoration plan for hydrological and pedological condition
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Start Date,Start Date
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,"Two years after beginning and every 10 years thereafter, compliance is verified",Verified by third party
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,renewable technology,activity manufactures renewable energy technology
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Production of hydrogen,activity manufactures equipment for production of hydrogen
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Tailpipe CO2 emissions,Tailpipe CO2 emissions/km
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Tailpipe CO2 emissions for Vessels,tailpipe (g of CO2 per tonne-mile) using IMO EEDI
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Track type,Rail track type
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Engine Type,Engine Type
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Vehicle Type,Vechicle Type
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Bodywork Classification Type,Bodywork Classification Typ
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Start Date,Start Date
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Exhaust requirement,EURO VI Standard
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Specific emissions of CO2,Specific emissions of CO2 = 0 or < 50gCO2/km 
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Low-emission heavey-duty vehicles,"Heavy-duty vehicles exceeding 7,5 tonnes accordig "
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Battery type,Battery is rechargable
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Battery recyling,Recycles end-of-life batteries
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Product type,Product type
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Energy Efficiency,U-value (W/m2K)
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Heat transfer,Lamda-value (W/mK)
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Energy Efficiency Class,Energy Efficiency Class
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,GHG emissions production,CO2e/kWh
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,GHG emission calculated standard,Commission Recomendation 2013/179/EU(96)
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,ISO Standard,ISO 14067:2018(97)
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,ISO Standard,ISO 14064-1:2018(98)
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Start Date,Start Date
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Product assessment type,Product assessment type
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Third party verification,verified by third party
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Cement type,Cement type
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,GHG emissions,GHG emission for cement (tCO2 / tonne)
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Captured CO2,CO2 captured for storage is transported and stored underground
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,aluminium type,Primary or secondary aluminium
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,GHG emissions,GHG emissions of aluminium manufactured
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Carbon Intensity,Carbon Intensity for indirect GHG emissions
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Electricity consumption,Electricity consumption of manufacturing process
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Start Date,Start Date
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Type,Iron or steel type
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,GHG emissions,GHG emissions of production
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Waste gases,Waste gases reduction
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Steel scrap used,Steel scrap input
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Captured CO2,CO2 captured for storage is transported and stored underground
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,GHG emissions,Life-cycle GHG emissions of hydrogen manufacturing
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,GHG emissions,Life-cycle GHG emissions of hydrogen based synthetic fuels
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,GHG quantification methodology,Recommendation 2013/179/EU or ISO 14067:2018 or ISO 14064-1:2018
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,GHG quantification verification,verified in line with article 30 where applicable or by an independent party
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Third party verification,verified by third party
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Captured CO2,CO2 captured for storage is transported and stored underground
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,GHG emissions,GHG emissions from carbon black production (tCO2)
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,GHG emissions,GHG emissions from soda ash production (tCO2)
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,electricity consumption,Electricity consumption for electrolysis and chlorine treatment
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,GHG emissions,average life-cycle GHG emissions (C02 e/kWh)
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,GHG quantification methodology,Recommendation 2013/179/EU or ISO 14067:2018 or ISO 14064-1:2018
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Third party verification,verified by third party
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Chemical type,Organic chemical type
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Manufacturing type,Wholly or partially produced from renewable feedstock
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,GHG emissions,life-cycle GHG emissions (tCO2) 
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,GHG emissions,GHG emission of equivalent fossil fuel feedstock manufacturing
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,GHG quantification methodology,Recommendation 2013/179/EU or ISO 14067:2018 or ISO 14064-1:2018
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,GHG quantification verification,verified by third party
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,biomass compliance,Agricultural biomass complies with criteria in article 29 paragraphs 2 to 5.
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,biomass compliance,Forest biomass complies with criteria in article 29 paragraphs 6 to 7
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Hydrogen compliance,produced from hydrogen 
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Waste water,recovered from waste water
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,GHG emissions,GHG emissions from manufacture of nitric acid (tCO2)
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Manufacturing type,mechanical recycling/ chemical recycling /renewable feedstock
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,GHG emissions,Life-cycle GHG emissions (excluding calculated credits from production of fuels)
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,GHG quantification methodology,Recommendation 2013/179/EU or ISO 14067:2018 or ISO 14064-1:2018
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,GHG emissions,GHG emission of equivalent fossil fuel feedstock manufacturing
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Biomass,Agricultural biomass complies with criteria in article 29 paragraphs 2 to 5.
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Biomass,Forest biomass complies with criteria in article 29 paragraphs 6 to 7
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Availibility assessement,"of reuse and use of secondary raw materials,
durability of products manufactured;
waste management, information on and traceability of substances "
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Availibility assessement,"of reuse and use of secondary raw materials,
durability of products manufactured;
waste management, information on and traceability of substances "
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Availibility assessement,"of reuse and use of secondary raw materials,
durability of products manufactured;
waste management, information on and traceability of substances "
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Vehicles ,"Do not contain lead, mercury, hexavalent chromium and cadmium"
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Availibility assessement,"of reuse of secondary raw materials,
durability of products manufactured; information on and traceability of substances "
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Sustainability rules,of hazardous substances in batteries
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Availibility assessement,"of reuse of secondary raw materials,
durability of products manufactured;
waste management that prioritises recycling in the manufacturing process; information on and traceability of substances "
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Availibility assessement,"of reuse of secondary raw materials,
durability of products manufactured;
waste management that prioritises recycling in the manufacturing process; information on and traceability of substances "
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Best available techniques (BAT-AEL) range,Emissions < best available techniques (BAT-AEL) range
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Best available techniques (BAT),"(BAT) conclusion for production of cement, lime and magnesium oxide"
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Hazardous substance measures,Handling of waste
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Best available techniques (BAT-AEL) range,Emissions < best available techniques (BAT-AEL) ranges
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Best available techniques (BAT) ,Conclusions for the non-ferrous metals industries
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,GHG emissions,Aluminium manufacturing
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Electricity consumption,< 15.5 MWh/t 
